,title,location,company,salary,city,state,parsed_salary
7610,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7611,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7612,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7613,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7614,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7615,Machine Learning Expert,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7616,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7617,Image Data Scientist (TEC0001YO),"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7618,Well Cementing Research Scientist,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7619,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7620,Expert Data Analyst/ SQL Expert,"Houston, TX",HX5,NaN,Houston,TX,NaN
7621,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7622,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7623,Engineering Consultant,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7624,Engagement Manager - Onsite and Remote (Houston),United States,"Sensory, Inc",NaN,Houston,TX,NaN
7625,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7626,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7627,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7628,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7629,Image Data Scientist (TEC0001YO),"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7630,Well Cementing Research Scientist,"Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7631,"Software Development Engineer, Big Data- Relocation Opportun...",United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7632,Expert Data Analyst/ SQL Expert,"Houston, TX",HX5,NaN,Houston,TX,NaN
7633,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7634,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7635,Engineering Consultant,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7636,Engagement Manager - Onsite and Remote (Houston),United States,"Sensory, Inc",NaN,Houston,TX,NaN
7637,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7638,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7639,Machine Learning Expert,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7640,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7641,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7642,Well Cementing Research Scientist,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7643,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
