budget,studio,sound,aspect,color,aspect_ratio
[],"[u'Kurosawa Production Co.', u'Toho Company']",[u'Perspecta Stereo'],,[u' Black and White'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $15,000,000        \n\n      (estimated)\n']",[u'Horizon Pictures (II)'],"[u'70 mm 6-Track', u'Mono', u'4-Track Stereo']",,[u'Color'],[u'\nAspect Ratio: 2.20 : 1\n    ']
"[u'\nBudget:        $2,000,000        \n\n      (estimated)\n']","[u'Universal International Pictures (UI)', u'Pakula-Mulligan', u'Brentwood Productions']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $980,000        \n\n      (estimated)\n']","[u'Seven Arts Pictures', u'Associates & Aldrich Company, The', u'Warner Bros.']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.85 : 1\n    ']
[],"[u'Cineriz', u'Francinex']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $1,800,000        \n\n      (estimated)\n']","[u'Columbia Pictures Corporation', u'Hawk Films']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $4,000,000        \n\n      (estimated)\n']","[u'Mirisch Company, The', u'Alpha']","[u'4-Track Stereo', u'Mono']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $800,000        \n\n      (estimated)\n']","[u'Igor Film', u'Casbah Film']",[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $600,000        \n\n      (estimated)\n']","[u'Produzioni Europee Associati (PEA)', u'Arturo Gonz\xe1lez Producciones Cinematogr\xe1ficas', u'Constantin Film Produktion']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        RUR\xa01,000,000        \n\n      (estimated)\n']","[u'Mosfilm', u'Tvorcheskoe Obedinienie Pisateley i Kinorabotnikov']",[u'Mono'],,"[u'Color', u' Black and White']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $1,200,000        \n\n      (estimated)\n']","[u'Produzioni Europee Associati (PEA)', u'Arturo Gonz\xe1lez Producciones Cinematogr\xe1ficas, S.A', u'Constantin Film Produktion']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
[],[u'Svensk Filmindustri (SF)'],[u'AGA Sound System'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $3,200,000        \n\n      (estimated)\n']",[u'Jalem Productions'],[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $12,000,000        \n\n      (estimated)\n']","[u'Metro-Goldwyn-Mayer (MGM)', u'Stanley Kubrick Productions']","[u'4-Track Stereo', u'70 mm 6-Track', u'DTS 70 mm']",,"[u'Color', u'Color']",[u'\nAspect Ratio: 2.20 : 1\n    ']
"[u'\nBudget:        $6,000,000        \n\n      (estimated)\n']","[u'Twentieth Century Fox Film Corporation', u'Campanile Productions', u'Newman-Foreman Company']",[u'Mono'],,"[u'Color', u' Black and White']",[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $5,000,000        \n\n      (estimated)\n']","[u'Rafran Cinematografica', u'Finanzia San Marco', u'Paramount Pictures']","[u'Mono', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $2,200,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Hawk Films']","[u'Dolby Digital', u'Mono']",,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $6,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Alfran Productions']","[u'DTS', u'Mono']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $5,500,000        \n\n      (estimated)\n']","[u'Zanuck/Brown Productions', u'Universal Pictures']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
