,title,location,company,salary,city,state
9312,Junior Data Scientist,"Denver, CO 80202 (Lodo area)",Comcast,NaN,Denver,CO
9313,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9314,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9315,Sr. Research Engineer: Machine Learning and Computational Li...,"Boulder, CO 80301","SomaLogic, Inc.",NaN,Denver,CO
9316,"Product Manager, Advanced Analytics","Boulder, CO 80301","SomaLogic, Inc.",NaN,Denver,CO
9317,Junior Data Scientist,"Golden, CO",National Renewable Energy Laboratory,NaN,Denver,CO
9318,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9319,Big Data Engineer (Machine Learning),"Denver, CO",Harnham,NaN,Denver,CO
9320,"Product Manager, Advanced Analytics","Denver, CO","Beckman Coulter, Inc.",NaN,Denver,CO
9321,Sr. Research Engineer: Machine Learning and Computational Li...,"Denver, CO",WSP | Parsons Brinckerhoff,NaN,Denver,CO
9322,Junior Data Scientist,"Westminster, CO",Ball Aerospace,NaN,Denver,CO
9323,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9324,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9325,"Product Manager, Advanced Analytics","Boulder, CO",Southwest Research Institute,NaN,Denver,CO
9326,Sr. Research Engineer: Machine Learning and Computational Li...,"Denver, CO 80204 (Central West Denver area)",Denver Health,"$66,654 a year",Denver,CO
9327,Junior Data Scientist,"Denver, CO",Socrata,NaN,Denver,CO
9328,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9329,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9330,"Product Manager, Advanced Analytics","Denver, CO",Bonfils Blood Center,$26.57 an hour,Denver,CO
9331,Sr. Research Engineer: Machine Learning and Computational Li...,"Broomfield, CO",Ball Aerospace,NaN,Denver,CO
9332,Junior Data Scientist,"Englewood, CO",Catholic Health Initiatives,NaN,Denver,CO
9333,"Product Manager, Advanced Analytics","Broomfield, CO","Alteryx, Inc.",NaN,Denver,CO
9334,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9335,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9336,Sr. Research Engineer: Machine Learning and Computational Li...,"Broomfield, CO 80021",ARCADIS,NaN,Denver,CO
9337,Junior Data Scientist,"Louisville, CO","Goldstone Partners, Inc.",NaN,Denver,CO
9338,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9339,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9340,Sr. Research Engineer: Machine Learning and Computational Li...,"Denver, CO",xentity corporation,NaN,Denver,CO
9341,"Product Manager, Advanced Analytics","Greenwood Village, CO",AT&T,NaN,Denver,CO
9342,Junior Data Scientist,"Westminster, CO",Dartmouth Financial Group,NaN,Denver,CO
9343,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9344,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9345,Sr. Research Engineer: Machine Learning and Computational Li...,"Boulder, CO","UNAVCO, Inc.",NaN,Denver,CO
9346,"Product Manager, Advanced Analytics","Broomfield, CO",Webroot,NaN,Denver,CO
9347,Junior Data Scientist,"Aurora, CO 80011 (Norfolk Glen area)",Children's Hospital Colorado,NaN,Denver,CO
9348,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9349,Big Data Engineer (Machine Learning),"Denver, CO",Harnham,NaN,Denver,CO
9350,Sr. Research Engineer: Machine Learning and Computational Li...,"Denver, CO 80204 (Central West Denver area)",Outdoor Sportsman Group,NaN,Denver,CO
9351,"Product Manager, Advanced Analytics","Broomfield, CO",Ball Aerospace,NaN,Denver,CO
9352,Junior Data Scientist,"Golden, CO",National Renewable Energy Laboratory,NaN,Denver,CO
9353,"Product Manager, Advanced Analytics","Broomfield, CO","Alteryx, Inc.",NaN,Denver,CO
9354,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9355,Munitions Response Project Engineer or Scientist,"Aurora, CO",University of Colorado,NaN,Denver,CO
9356,Software Engineers - Data Analytics Engineer,"Denver, CO 80123",TECHNOCRAFT SOLUTIONS,NaN,Denver,CO
9357,Junior Data Scientist,"Centennial, CO 80111",S&P GLOBAL MARKET INTELLIGENCE,NaN,Denver,CO
9358,"Product Manager, Advanced Analytics","Broomfield, CO","Alteryx, Inc.",NaN,Denver,CO
9359,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9360,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9361,Sr. Research Engineer: Machine Learning and Computational Li...,"Denver, CO",xentity corporation,NaN,Denver,CO
9362,Junior Data Scientist,"Denver, CO 80202 (Lodo area)",KPMG,NaN,Denver,CO
9363,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9364,"Product Manager, Advanced Analytics","Broomfield, CO","Alteryx, Inc.",NaN,Denver,CO
9365,Munitions Response Project Engineer or Scientist,"Denver, CO",AdTaxi Networks,NaN,Denver,CO
9366,Software Engineers - Data Analytics Engineer,"Centennial, CO",Pearson,NaN,Denver,CO
9367,Junior Data Scientist,"Broomfield, CO",Oracle,NaN,Denver,CO
9368,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9369,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9370,Sr. Research Engineer: Machine Learning and Computational Li...,"Louisville, CO","Goldstone Partners, Inc.",NaN,Denver,CO
9371,"Product Manager, Advanced Analytics","Denver, CO",Planet Pharma,NaN,Denver,CO
9372,Junior Data Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9373,"Product Manager, Advanced Analytics","Broomfield, CO","Alteryx, Inc.",NaN,Denver,CO
9374,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9375,Software Engineers - Data Analytics Engineer,"Englewood, CO","Claridyne Inc.,",NaN,Denver,CO
9376,Sr. Research Engineer: Machine Learning and Computational Li...,"Denver, CO 80221",S&P Global Platts,NaN,Denver,CO
9377,Junior Data Scientist,"Littleton, CO 80127",Lockheed Martin,NaN,Denver,CO
9378,Sr. Research Engineer: Machine Learning and Computational Li...,"Boulder, CO",LENA Research Foundation,NaN,Denver,CO
9379,"Product Manager, Advanced Analytics","Broomfield, CO","Alteryx, Inc.",NaN,Denver,CO
9380,Software Engineers - Data Analytics Engineer,Colorado,"Solidyn Solutions, Inc",NaN,Denver,CO
9381,Research Scientist,"Denver, CO",Galvanize,NaN,Denver,CO
9382,Junior Data Scientist,"Denver, CO 80237 (Southeastern Denver area)",IBM,NaN,Denver,CO
9383,Junior Data Scientist,"Englewood, CO",Eventus Solutions Group,NaN,Denver,CO
9384,Munitions Response Project Engineer or Scientist,"Lakewood, CO",Weston Solutions,NaN,Denver,CO
9385,Research Scientist,"Denver, CO",Specialty Chemicals,NaN,Denver,CO
9386,"Product Manager, Advanced Analytics","Englewood, CO 80112",Eventus Solutions Group,NaN,Denver,CO
9387,Software Engineers - Data Analytics Engineer,"Broomfield, CO",Oracle,NaN,Denver,CO
9388,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9389,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9390,Business Intelligence Engineer,"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9391,Data Scientist/Engineer (SS774),"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9392,Data Scientist,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9393,"Machine Learning Scientist, Personalization","Seattle, WA",Amazon,NaN,Seattle,WA
9394,Market Research Analyst,"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9395,Sr. SQL Architect,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9396,Principal Data Scientist,"Seattle, WA",Amazon,NaN,Seattle,WA
9397,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9398,Software Development Engineer – New AWS Machine Learning- Re...,"Redmond, WA",FiveBy,NaN,Seattle,WA
9399,"Software Development Engineer, Big Data- Relocation Opportun...","Redmond, WA",Nintendo of America Inc.,NaN,Seattle,WA
9400,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9401,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9402,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9403,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9404,Business Intelligence Engineer,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9405,"Machine Learning Scientist, Personalization","Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9406,Market Research Analyst,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9407,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9408,Principal Data Scientist,"Seattle, WA",Amazon,NaN,Seattle,WA
9409,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9410,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9411,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9412,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9413,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9414,Business Intelligence Engineer,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9415,"Machine Learning Scientist, Personalization","Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9416,Market Research Analyst,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9417,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9418,Principal Data Scientist,"Seattle, WA",Amazon,NaN,Seattle,WA
9419,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9420,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9421,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9422,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9423,Business Intelligence Engineer,"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9424,"Machine Learning Scientist, Personalization","Kirkland, WA",ServiceNow,NaN,Seattle,WA
9425,Market Research Analyst,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9426,Technical Data Specialist - Business Intelligence/Analysis,"Seattle, WA",Amazon,NaN,Seattle,WA
9427,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9428,Principal Data Scientist,"Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9429,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Efinancial,NaN,Seattle,WA
9430,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9431,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9432,Senior Data Warehouse Engineer,"Seattle, WA",DoubleDown Interactive,NaN,Seattle,WA
9433,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9434,Sr. SQL Architect,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9435,Physician Substitute,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9436,Data Scientist/Engineer (SS774),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9437,Technical Data Specialist - Business Intelligence/Analysis,"Redmond, WA",FiveBy,NaN,Seattle,WA
9438,Sr. Statistical Programmers,"Everett, WA",PlasmaLab International,NaN,Seattle,WA
9439,"Machine Learning Scientist, Personalization","Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9440,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9441,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9442,Senior Data Warehouse Engineer,"Seattle, WA",DoubleDown Interactive,NaN,Seattle,WA
9443,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9444,Sr. SQL Architect,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9445,Physician Substitute,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9446,Data Scientist/Engineer (SS774),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9447,Technical Data Specialist - Business Intelligence/Analysis,"Redmond, WA",FiveBy,NaN,Seattle,WA
9448,Sr. Statistical Programmers,"Everett, WA",PlasmaLab International,NaN,Seattle,WA
9449,"Machine Learning Scientist, Personalization","Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9450,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9451,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9452,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9453,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9454,Business Intelligence Engineer,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9455,"Machine Learning Scientist, Personalization","Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9456,Market Research Analyst,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9457,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9458,Principal Data Scientist,"Seattle, WA",Amazon,NaN,Seattle,WA
9459,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9460,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9461,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9462,Senior Data Warehouse Engineer,"Seattle, WA",DoubleDown Interactive,NaN,Seattle,WA
9463,Sr. SQL Architect,"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9464,UX Research Analyst (2997),"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9465,Technical Data Specialist - Business Intelligence/Analysis,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9466,Physician Substitute,"Redmond, WA",FiveBy,NaN,Seattle,WA
9467,Sr. Statistical Programmers,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9468,"Machine Learning Scientist, Personalization","Bellevue, WA",Efinancial,NaN,Seattle,WA
9469,"Quality Engineer, Medical Devices","Everett, WA",PlasmaLab International,NaN,Seattle,WA
9470,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9471,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9472,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9473,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9474,Business Intelligence Engineer,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9475,"Machine Learning Scientist, Personalization","Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9476,Market Research Analyst,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9477,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9478,Principal Data Scientist,"Seattle, WA",Amazon,NaN,Seattle,WA
9479,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9480,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9481,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9482,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9483,Business Intelligence Engineer,"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9484,"Machine Learning Scientist, Personalization","Kirkland, WA",ServiceNow,NaN,Seattle,WA
9485,Technical Data Specialist - Business Intelligence/Analysis,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9486,Market Research Analyst,"Seattle, WA",Amazon,NaN,Seattle,WA
9487,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9488,Principal Data Scientist,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9489,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9490,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9491,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9492,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9493,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9494,Business Intelligence Engineer,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9495,"Machine Learning Scientist, Personalization","Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9496,Market Research Analyst,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9497,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9498,Principal Data Scientist,"Seattle, WA",Amazon,NaN,Seattle,WA
9499,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9500,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9501,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9502,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9503,UX Research Analyst (2997),"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9504,Business Intelligence Engineer,"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9505,"Machine Learning Scientist, Personalization","Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9506,Market Research Analyst,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9507,Sr. SQL Architect,"Seattle, WA",Amazon,NaN,Seattle,WA
9508,Principal Data Scientist,"Seattle, WA",Amazon,NaN,Seattle,WA
9509,"Architect/Principal Software Development Engineer, Data Scie...","Bellevue, WA",Penn Schoen Berland,NaN,Seattle,WA
9510,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9511,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9512,Senior Data Warehouse Engineer,"Seattle, WA",DoubleDown Interactive,NaN,Seattle,WA
9513,Sr. SQL Architect,"Seattle, WA",Boehringer Ingelheim,NaN,Seattle,WA
9514,UX Research Analyst (2997),"Kirkland, WA",ServiceNow,NaN,Seattle,WA
9515,Technical Data Specialist - Business Intelligence/Analysis,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9516,Physician Substitute,"Redmond, WA",FiveBy,NaN,Seattle,WA
9517,Sr. Statistical Programmers,"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9518,"Machine Learning Scientist, Personalization","Bellevue, WA",Efinancial,NaN,Seattle,WA
9519,"Quality Engineer, Medical Devices","Everett, WA",PlasmaLab International,NaN,Seattle,WA
9520,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9521,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9522,"Machine Learning Scientist, Personalization","Seattle, WA",University of Washington,"$3,017 - $4,032 a month",Seattle,WA
9523,Data Scientist/Engineer (SS774),"Seattle, WA",Socrata,NaN,Seattle,WA
9524,UX Research Analyst (2997),"Seattle, WA",Juno Therapeutics,NaN,Seattle,WA
9525,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9526,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9527,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9528,UX Research Analyst (2997),"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9529,Business Intelligence Engineer,"Seattle, WA 98101 (Downtown area)",Fred Hutchinson Cancer Research Center,NaN,Seattle,WA
9530,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9531,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9532,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9533,UX Research Analyst (2997),"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9534,Business Intelligence Engineer,"Seattle, WA",University of Washington,"$3,160 - $4,239 a month",Seattle,WA
9535,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9536,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9537,Data Scientist/Engineer (SS774),"Seattle, WA",BMS,NaN,Seattle,WA
9538,Business Intelligence Engineer,"Redmond, WA 98052",Microsoft,NaN,Seattle,WA
9539,UX Research Analyst (2997),"Seattle, WA",University of Washington,"$2,572 - $3,573 a month",Seattle,WA
9540,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9541,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9542,Data Scientist,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9543,Business Intelligence Engineer,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9544,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA 98005 (Wilburton area)",Sea-Bird Electronics,NaN,Seattle,WA
9545,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9546,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9547,Technical Data Specialist - Business Intelligence/Analysis,"Redmond, WA","Physio-Control, Inc.",NaN,Seattle,WA
9548,UX Research Analyst (2997),"Seattle, WA",University of Washington Medical Center,"$2,370 - $3,129 a month",Seattle,WA
9549,Business Intelligence Engineer,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9550,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9551,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9552,UX Research Analyst (2997),"Redmond, WA","Physio-Control, Inc.",NaN,Seattle,WA
9553,Business Intelligence Engineer,"Redmond, WA 98052",Microsoft,NaN,Seattle,WA
9554,Data Scientist,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,NaN,Seattle,WA
9555,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9556,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9557,UX Research Analyst (2997),"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9558,Business Intelligence Engineer,"Seattle, WA",Capital One,NaN,Seattle,WA
9559,Data Scientist,"Seattle, WA 98109 (Westlake area)",Novo Nordisk,NaN,Seattle,WA
9560,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9561,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9562,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9563,Business Intelligence Engineer,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9564,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9565,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9566,UX Research Analyst (2997),"Bothell, WA",NWRPros,NaN,Seattle,WA
9567,Business Intelligence Engineer,"Seattle, WA",University of Washington,NaN,Seattle,WA
9568,Data Scientist,"Bothell, WA 98012","Novuson Surgical, Inc.",NaN,Seattle,WA
9569,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9570,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9571,UX Research Analyst (2997),"Redmond, WA","Physio-Control, Inc.",NaN,Seattle,WA
9572,Business Intelligence Engineer,"Redmond, WA 98052",CSI Interfusion Inc.,NaN,Seattle,WA
9573,Data Scientist,"Bellevue, WA",Apptio,NaN,Seattle,WA
9574,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9575,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9576,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9577,Data Scientist,"Redmond, WA 98052",Microsoft,NaN,Seattle,WA
9578,Data Scientist/Engineer (SS774),"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9579,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
9580,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9581,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9582,Data Scientist/Engineer (SS774),"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9583,Technical Data Specialist - Business Intelligence/Analysis,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,NaN,Seattle,WA
9584,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9585,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9586,UX Research Analyst (2997),"Seattle, WA",University of Washington,"$4,678 - $6,695 a month",Seattle,WA
9587,Business Intelligence Engineer,"Seattle, WA",University of Washington,NaN,Seattle,WA
9588,Data Scientist,"Seattle, WA",University of Washington,"$4,071 - $5,828 a month",Seattle,WA
9589,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9590,Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",Efinancial,NaN,Seattle,WA
9591,UX Research Analyst (2997),"Seattle, WA","VanderHouwen & Associates, Inc.",NaN,Seattle,WA
9592,Business Intelligence Engineer,"Seattle, WA",All-In Analytics,NaN,Seattle,WA
9593,Data Scientist,"Bothell, WA 98011","Alder Biopharmaceuticals, inc.",NaN,Seattle,WA
9594,Data Scientist/Engineer (SS774),"Bellevue, WA","Akvelon, Inc.",NaN,Seattle,WA
9595,UX Research Analyst (2997),"Seattle, WA",VALERE Consulting & Recruiting,NaN,Seattle,WA
9596,Business Intelligence Engineer,"Seattle, WA",Amazon Corporate LLC,NaN,Seattle,WA
9597,"Machine Learning Scientist, Personalization","Seattle, WA",Environmental Science Associates,NaN,Seattle,WA
9598,Data Scientist,"Seattle, WA",University of Washington,"$2,685 - $3,564 a month",Seattle,WA
9599,Business Intelligence Engineer,"Seattle, WA",Amazon,NaN,Seattle,WA
9600,Data Scientist,"Bellevue, WA",ProCogia,NaN,Seattle,WA
