,title,location,company,salary,city,state,parsed_salary
1585,Senior Machine Learning Engineer,"Torrance, CA",Login Consulting Services Inc.,NaN,Los Angeles,CA,NaN
1586,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1587,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1588,Supply Chain Optimization Scientist,"Sylmar, CA 91342","Motion Picture Compliance Solutions, Inc.",NaN,Los Angeles,CA,NaN
1589,Data Scientist – Predictive Analytics,"Playa Vista, CA",Millward Brown,NaN,Los Angeles,CA,NaN
1590,Senior Machine Learning Engineer,"Marina del Rey, CA 90292",University of Southern California,NaN,Los Angeles,CA,NaN
1591,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
1592,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Los Angeles,CA,NaN
1593,Supply Chain Optimization Scientist,"Torrance, CA",Fabergent Inc,NaN,Los Angeles,CA,NaN
1594,Data Scientist – Predictive Analytics,"El Segundo, CA 90245",The Aerospace Corporation,NaN,Los Angeles,CA,NaN
1595,Senior Machine Learning Engineer,"Redondo Beach, CA 90278",AGI Innovations Inc,"$28,000 - $40,000 a year",Los Angeles,CA,34000.0
1596,Supply Chain Optimization Scientist,"Glendale, CA",Nestlé USA,NaN,Los Angeles,CA,NaN
1597,"Director, Advanced Analytics Solutions","Los Angeles, CA",RAPP,NaN,Los Angeles,CA,NaN
